Year,Real,t
1972,3030.4325141197723,0
1973,3426.276220503779,1
1974,3665.862797641903,2
1975,4299.745617992836,3
1976,4138.167787615347,4
1977,4681.43993173038,5
1978,5976.938168999906,6
1979,7804.762080511547,7
1980,10032.062080014974,8
1981,9599.306222219648,9
1982,9146.077357018517,10
1983,8691.51881306514,11
1984,8179.194440649911,12
1985,8652.21654247593,13
1986,10611.112210095978,14
1987,13118.586534629034,15
1988,15987.168077568824,16
1989,16239.282196094424,17
1990,19095.46699846078,18
1991,19900.726650506862,19
1992,20487.170785287846,20
1993,18389.019567509866,21
1994,19709.238098365302,22
1995,23013.458819927433,23
1996,24219.62284877668,24
1997,26621.480059277696,25
1998,28014.89469949528,26
1999,28383.66890525332,27
2000,27982.355763578707,28
2001,27427.587502360017,29
2002,29785.98628758402,30
2003,34173.97997643418,31
2004,39983.98467466534,32
2005,41732.64054002197,33
2006,44252.31582344287,34
2007,50134.316097146315,35
